,ID,Education,Marital_Status,Has_child,Children,Cluster,Age_group,Income_group,Seniority_group,Wines_segment,Fruits_segment,Meat_segment,Fish_segment,Sweets_segment,Gold_segment
430,3725,Postgraduate,Alone,No child,No child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
431,4324,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Non consumer,Biggest consumer,Frequent consumer,Low consumer,Biggest consumer
432,238,Undergraduate,In couple,Has child,2 children,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
433,6694,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
434,498,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
435,9347,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
436,9699,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
437,10664,Postgraduate,Alone,Has child,1 child,Leaky bucket,Senior,Medium to high income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
438,5455,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,Discovering customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
439,456,Undergraduate,In couple,Has child,1 child,High potential,Adult,Low income,Experienced customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
440,5012,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Experienced customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
441,7495,Postgraduate,In couple,Has child,1 child,Leaky bucket,Senior,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer
442,5029,Postgraduate,In couple,No child,No child,Leaky bucket,Senior,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
443,10642,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
444,2106,Undergraduate,In couple,No child,No child,Leaky bucket,Mature,Low income,New customers,Non consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
445,10364,Postgraduate,Alone,No child,No child,High potential,Mature,Low income,Discovering customers,Non consumer,Non consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
446,5954,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
447,1137,Postgraduate,Alone,No child,No child,Stars,Mature,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
448,2541,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Experienced customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer
449,1142,Postgraduate,In couple,Has child,1 child,Leaky bucket,Senior,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
450,2276,Postgraduate,Alone,Has child,1 child,Need attention,Senior,Medium to high income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
451,2807,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer
452,6471,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
453,6131,Undergraduate,In couple,Has child,2 children,Stars,Adult,High income,Discovering customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
454,6233,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Low consumer
455,4148,Postgraduate,In couple,Has child,3 children,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer
456,4947,Undergraduate,Alone,No child,No child,Need attention,Mature,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
457,3225,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
458,7540,Postgraduate,In couple,Has child,1 child,Leaky bucket,Senior,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
459,10648,Undergraduate,In couple,No child,No child,Need attention,Adult,Medium to high income,Old customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
460,1992,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,New customers,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
461,7851,Postgraduate,Alone,No child,No child,Stars,Senior,High income,Discovering customers,Frequent consumer,Non consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
462,8594,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
463,7059,Postgraduate,In couple,No child,No child,Stars,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
464,2815,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
465,2416,Postgraduate,Alone,No child,No child,Stars,Mature,Medium to high income,New customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer
466,7999,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
467,9213,Postgraduate,Alone,Has child,1 child,High potential,Mature,Low income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
468,9697,Postgraduate,In couple,Has child,2 children,Leaky bucket,Senior,Medium to high income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
469,3916,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Low to medium income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
470,2021,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
471,1581,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Discovering customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
472,564,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
473,6619,Postgraduate,In couple,Has child,2 children,High potential,Adult,Low to medium income,Old customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
474,9081,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer
475,178,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
476,916,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
477,5512,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,New customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
478,8970,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Non consumer,Biggest consumer
479,10581,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
480,5300,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Low consumer,Frequent consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
481,5154,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Non consumer
482,8346,Postgraduate,Alone,Has child,1 child,High potential,Mature,Low income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
483,1676,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Low consumer
484,9286,Postgraduate,In couple,No child,No child,Need attention,Mature,High income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer
485,2426,Postgraduate,Alone,No child,No child,Need attention,Mature,High income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
486,5172,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Discovering customers,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
487,5562,Postgraduate,In couple,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
488,3436,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low income,New customers,Low consumer,Non consumer,Low consumer,Low consumer,Low consumer,Low consumer
489,3921,Undergraduate,Alone,No child,No child,High potential,Senior,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
490,3403,Postgraduate,In couple,Has child,1 child,Need attention,Mature,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
491,22,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
492,10965,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
493,9426,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Frequent consumer,Non consumer,Biggest consumer
494,6605,Postgraduate,Alone,No child,No child,Stars,Senior,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
495,3136,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Medium to high income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
496,8737,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Medium to high income,New customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
497,11088,Postgraduate,In couple,Has child,1 child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
498,716,Postgraduate,In couple,Has child,1 child,Stars,Senior,Medium to high income,New customers,Biggest consumer,Non consumer,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer
499,466,Postgraduate,In couple,No child,No child,Need attention,Senior,Medium to high income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
500,9135,Postgraduate,In couple,Has child,2 children,High potential,Senior,Low income,Old customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Non consumer,Frequent consumer
501,10623,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Non consumer
502,8151,Undergraduate,In couple,No child,No child,High potential,Adult,Low income,Old customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer
503,5140,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,Old customers,Biggest consumer,Non consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer
504,10160,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
505,4945,Postgraduate,Alone,No child,No child,Need attention,Senior,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
506,10584,Postgraduate,In couple,Has child,1 child,Stars,Adult,Medium to high income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer
507,6071,Postgraduate,Alone,No child,No child,Stars,Adult,High income,Discovering customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
508,3386,Postgraduate,In couple,No child,No child,High potential,Young,Low income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
509,8939,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Medium to high income,Old customers,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
510,9925,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low to medium income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Low consumer,Frequent consumer
511,4320,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Medium to high income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
512,5389,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
513,6036,Postgraduate,In couple,No child,No child,Stars,Mature,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
514,182,Postgraduate,In couple,Has child,1 child,High potential,Senior,Low to medium income,Experienced customers,Frequent consumer,Non consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
515,203,Postgraduate,Alone,No child,No child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
516,11025,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
517,10203,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low income,Experienced customers,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
518,4607,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
519,3711,Postgraduate,In couple,No child,No child,Stars,Senior,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer
520,3696,Postgraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low income,New customers,Frequent consumer,Low consumer,Low consumer,Low consumer,Non consumer,Low consumer
521,2532,Postgraduate,Alone,No child,No child,Stars,Adult,High income,New customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer
522,9214,Postgraduate,In couple,No child,No child,Leaky bucket,Young,Low to medium income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
523,4943,Postgraduate,In couple,No child,No child,Need attention,Senior,High income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Biggest consumer
524,35,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
525,2258,Postgraduate,In couple,Has child,1 child,High potential,Adult,Low income,Old customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer
526,4322,Postgraduate,In couple,No child,No child,Stars,Mature,High income,Discovering customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer,Frequent consumer
527,713,Postgraduate,In couple,No child,No child,Leaky bucket,Adult,Low to medium income,New customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
528,4702,Postgraduate,Alone,No child,No child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer
529,3281,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
530,702,Undergraduate,Alone,Has child,1 child,High potential,Mature,Low to medium income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
531,2004,Postgraduate,Alone,Has child,1 child,Stars,Mature,High income,Discovering customers,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
532,4769,Postgraduate,In couple,Has child,2 children,Stars,Adult,Medium to high income,New customers,Frequent consumer,Low consumer,Frequent consumer,Non consumer,Non consumer,Low consumer
533,4437,Postgraduate,In couple,Has child,2 children,High potential,Mature,Medium to high income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
534,8724,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low income,Experienced customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Low consumer
535,10741,Postgraduate,In couple,Has child,1 child,High potential,Senior,Low to medium income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
536,1991,Postgraduate,In couple,Has child,1 child,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
537,6931,Postgraduate,Alone,No child,No child,Stars,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
538,11096,Undergraduate,In couple,Has child,1 child,Leaky bucket,Senior,Medium to high income,Discovering customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Biggest consumer,Low consumer
539,304,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer
540,3665,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Low consumer,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Frequent consumer
541,10591,Postgraduate,Alone,Has child,1 child,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
542,5036,Postgraduate,Alone,Has child,1 child,High potential,Adult,Low to medium income,Old customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Biggest consumer
543,5547,Postgraduate,In couple,No child,No child,Stars,Adult,High income,Discovering customers,Biggest consumer,Frequent consumer,Biggest consumer,Non consumer,Frequent consumer,Non consumer
544,7822,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,Experienced customers,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
545,8541,Undergraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
546,10955,Postgraduate,Alone,No child,No child,Stars,Mature,High income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
547,4368,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer
548,9671,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,New customers,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
549,2256,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,New customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
550,4279,Undergraduate,Alone,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Low consumer,Low consumer,Low consumer,Low consumer,Low consumer,Frequent consumer
551,5371,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low income,New customers,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
552,9240,Postgraduate,Alone,Has child,1 child,Stars,Mature,Medium to high income,New customers,Frequent consumer,Non consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
553,9460,Postgraduate,In couple,No child,No child,High potential,Mature,Low income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
554,9504,Postgraduate,In couple,No child,No child,Stars,Senior,High income,Discovering customers,Frequent consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer
555,8692,Postgraduate,In couple,Has child,2 children,High potential,Senior,Low to medium income,Old customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
556,448,Postgraduate,Alone,Has child,1 child,Need attention,Adult,Medium to high income,Experienced customers,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer
557,8314,Postgraduate,In couple,No child,No child,Need attention,Adult,High income,Experienced customers,Biggest consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Biggest consumer
558,8420,Undergraduate,In couple,No child,No child,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
559,3174,Postgraduate,In couple,Has child,1 child,Need attention,Mature,High income,Experienced customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
560,7685,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low income,Discovering customers,Frequent consumer,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer
561,3179,Postgraduate,Alone,No child,No child,Need attention,Adult,High income,Experienced customers,Frequent consumer,Biggest consumer,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer
562,9780,Postgraduate,In couple,Has child,1 child,Stars,Mature,High income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer,Non consumer,Frequent consumer
563,10681,Undergraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,New customers,Frequent consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer,Biggest consumer
564,10232,Postgraduate,Alone,Has child,1 child,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
565,4184,Postgraduate,In couple,Has child,1 child,Leaky bucket,Senior,Medium to high income,New customers,Frequent consumer,Low consumer,Frequent consumer,Low consumer,Low consumer,Frequent consumer
566,9120,Postgraduate,Alone,Has child,1 child,Need attention,Mature,Medium to high income,Old customers,Biggest consumer,Frequent consumer,Frequent consumer,Biggest consumer,Frequent consumer,Frequent consumer
567,891,Postgraduate,In couple,Has child,2 children,Leaky bucket,Senior,Low income,Discovering customers,Low consumer,Non consumer,Low consumer,Low consumer,Non consumer,Low consumer
568,10381,Postgraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,Experienced customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
569,3525,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Old customers,Low consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
570,6818,Postgraduate,In couple,Has child,1 child,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
571,3526,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
572,8181,Undergraduate,Alone,Has child,1 child,Leaky bucket,Adult,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
573,1029,Postgraduate,In couple,Has child,1 child,Stars,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer
574,7369,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Non consumer,Non consumer
575,2574,Postgraduate,In couple,Has child,1 child,Need attention,Adult,Medium to high income,Experienced customers,Biggest consumer,Frequent consumer,Frequent consumer,Non consumer,Non consumer,Frequent consumer
576,8159,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,New customers,Frequent consumer,Non consumer,Frequent consumer,Frequent consumer,Non consumer,Frequent consumer
577,1160,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,Discovering customers,Low consumer,Low consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
578,10242,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
579,5253,Postgraduate,In couple,Has child,2 children,Leaky bucket,Mature,Medium to high income,Discovering customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Low consumer,Low consumer
580,5966,Postgraduate,In couple,Has child,2 children,High potential,Mature,Low to medium income,Old customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
581,5314,Postgraduate,In couple,Has child,1 child,High potential,Senior,Low to medium income,Experienced customers,Frequent consumer,Low consumer,Frequent consumer,Frequent consumer,Frequent consumer,Biggest consumer
582,5081,Undergraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low to medium income,Discovering customers,Low consumer,Non consumer,Low consumer,Low consumer,Frequent consumer,Low consumer
583,5123,Postgraduate,In couple,No child,No child,High potential,Senior,Low income,Experienced customers,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer,Frequent consumer
584,5756,Postgraduate,In couple,Has child,1 child,Leaky bucket,Adult,Low to medium income,New customers,Frequent consumer,Non consumer,Low consumer,Non consumer,Non consumer,Low consumer
585,8036,Undergraduate,In couple,Has child,2 children,Leaky bucket,Mature,Low income,New customers,Frequent consumer,Low consumer,Low consumer,Frequent consumer,Low consumer,Low consumer
586,9058,Postgraduate,Alone,No child,No child,Need attention,Senior,High income,Old customers,Biggest consumer,Frequent consumer,Biggest consumer,Frequent consumer,Non consumer,Biggest consumer
